"","Sample_ID","Sample_date","Sample_site","Water_body","Depth_m","Latitude","Longitude","Year","Month","Day","DOY","Time","Diatoms","Chrysophytes","Cryptophytes","Green_algae","Cyanobacteria","Dinoflagellates","Edibles","Inedibles","TotalPP","Site_consolidated"
"1020","20100524-29-905","2010-05-24","29-905","Western Erie",8.8,41.866389,-83.135278,2010,5,24,144,2010.39178082192,0.706969394,0.019261381,0.596383587,0.481668279,0.001605115,0,1.639387936,0.16649982,1.805887756,"29-905"
"1021","20100524-36-873","2010-05-24","36-873","Western Erie",6.1,41.768333,-83.300833,2010,5,24,144,2010.39178082192,1.581063729,0,2.727669932,1.335679601,0,0,4.837667213,0.806746049,5.644413262,"36-873"
"1022","20100524-37-890","2010-05-24","37-890","Western Erie",6.1,41.7025,-83.248056,2010,5,24,144,2010.39178082192,0.178268113,0.000710289,0.706564738,1.232233217,0.000887862,0,1.714881388,0.403782831,2.118664219,"37-890"
"1023","20110505-14-972","2011-05-05","14-972","Western Erie",6.4,41.571667,-82.77,2011,5,5,125,2011.3397260274,0.568695128,0,0.128220981,0.757343989,0.041533288,0,1.454260098,0.041533288,1.495793386,"14-972"
"1024","20110505-16-970","2011-05-05","16-970","Western Erie",9.1,41.640278,-82.765833,2011,5,5,125,2011.3397260274,1.806783941,0,0.704069725,0.801845046,0.392349513,0,3.253392324,0.451655901,3.705048225,"16-970"
"1025","20110505-27-918","2011-05-05","27-918","Western Erie",9.8,41.775556,-83.054722,2011,5,5,125,2011.3397260274,0.35246866,0,1.557451716,0.170049502,0.012666629,0,2.079969878,0.012666629,2.092636507,"27-918"
"1026","20110505-29-905","2011-05-05","29-905","Western Erie",9.1,41.866389,-83.135278,2011,5,5,125,2011.3397260274,1.765935527,0,0.972922459,0.480297796,0.26134468,0.53311782,3.705293198,0.308325084,4.013618282,"29-905"
"1027","20110505-3-996","2011-05-05","3-996","Western Erie",7.9,41.4475,-82.617778,2011,5,5,125,2011.3397260274,1.567599617,0,0.238465363,0.163655096,0.001933603,0,1.492786695,0.478866984,1.971653679,"3-996"
"1028","20110505-36-873","2011-05-05","36-873","Western Erie",6.1,41.768333,-83.300833,2011,5,5,125,2011.3397260274,0.141918025,0,0.680042853,0.27943034,0.018221517,0.56533425,1.666725468,0.018221517,1.684946985,"36-873"
"1029","20110505-37-890","2011-05-05","37-890","Western Erie",6.1,41.7025,-83.248056,2011,5,5,125,2011.3397260274,0.219351584,0.006171167,0.131908698,0.332458776,0.015235069,0,0.686804641,0.018320653,0.705125294,"37-890"
